iter	RMSE
0	83.29704628
1	82.87760684
2	82.52061981
3	82.20011565
4	81.91517201
5	81.66901247
6	81.51008424
7	81.30204298
8	81.1477244
9	81.01302549
10	80.88384386
11	80.7543602
12	80.62816436
13	80.55195272
14	80.43546164
15	80.36381586
16	80.31752897
17	80.23032617
18	80.13873091
19	80.09304058
20	80.05566127
21	79.97685386
22	79.93254665
23	79.87592927
24	79.85690142
25	79.83618594
26	79.81626546
27	79.78330886
28	79.74195731
29	79.71706347
30	79.67551021
31	79.6647685
32	79.63501684
33	79.62316412
34	79.61588917
35	79.6074246
36	79.59680702
37	79.54191671
38	79.53513736
39	79.5033702
40	79.48875344
41	79.47956966
42	79.47258635
43	79.46630012
44	79.45888643
45	79.44804307
46	79.44105246
47	79.43131769
48	79.42088856
49	79.40989989
50	79.4053306
51	79.39291618
52	79.38347666
53	79.3786017
54	79.35511883
55	79.34736558
56	79.33700066
57	79.30884862
58	79.30303186
59	79.26238837
60	79.2599674
61	79.24168554
62	79.23875445
63	79.23605313
64	79.23321708
65	79.19914069
66	79.19692676
67	79.19282603
68	79.19073924
69	79.18799431
70	79.18471137
71	79.18301633
72	79.16951627
73	79.16063721
74	79.15590541
75	79.15119165
76	79.10315415
77	79.10040325
78	79.07691613
79	79.06282454
80	79.05132348
81	79.01321019
82	79.00231957
83	78.99711321
84	78.98089108
85	78.90328396
86	78.89832568
87	78.88711962
88	78.86154755
89	78.85029971
90	78.84889177
91	78.84730392
92	78.84427055
93	78.84023825
94	78.83559329
95	78.80976425
96	78.80704173
97	78.80583692
98	78.78985846
99	78.78648467
100	78.78205583
101	78.74806243
102	78.73872703
103	78.73714386
104	78.73470991
105	78.72921405
106	78.72814529
107	78.72517044
108	78.72340069
109	78.71516745
110	78.70553757
111	78.7021101
112	78.69574151
113	78.67633289
114	78.67359055
115	78.66408608
116	78.65931746
117	78.64846613
118	78.63060808
119	78.61350121
120	78.61119782
121	78.60668691
122	78.60154037
123	78.60042126
124	78.59330233
125	78.58578567
126	78.58338783
127	78.56918896
128	78.53558821
129	78.53467829
130	78.53303462
131	78.53013302
132	78.51983017
133	78.51544624
134	78.51284956
135	78.5024955
136	78.4818193
137	78.453223
138	78.44450761
139	78.44111993
140	78.39444318
141	78.39335894
142	78.37826717
143	78.29472279
144	78.29100751
145	78.26199807
146	78.25667337
147	78.21726265
148	78.21617496
149	78.20879455
150	78.20627181
151	78.19152401
152	78.18547258
153	78.18322757
154	78.17920984
155	78.17547862
156	78.17054732
157	78.16298842
158	78.1136051
159	78.05006826
160	78.03900902
161	77.97712276
162	77.97166092
163	77.96504358
164	77.96198131
165	77.93275009
166	77.89555231
167	77.89316937
168	77.8654331
169	77.81639157
170	77.80943539
171	77.80564859
172	77.80496136
173	77.78860262
174	77.69456171
175	77.68673797
176	77.67863261
177	77.67423375
178	77.62132853
179	77.58014051
180	77.56517007
181	77.55102987
182	77.54489423
183	77.53139172
184	77.528174
