iter	RMSE
0	83.0592306
1	82.52162058
2	82.04017331
3	81.65637232
4	81.34390492
5	81.0824088
6	80.85901539
7	80.56262493
8	80.40989974
9	80.25987297
10	80.07020022
11	79.96571922
12	79.80256906
13	79.70606977
14	79.63089414
15	79.53014969
16	79.47742453
17	79.3561636
18	79.31246043
19	79.25925717
20	79.19488276
21	79.09227192
22	79.06213536
23	78.84494043
24	78.79427429
25	78.77183621
26	78.72052628
27	78.6821145
28	78.65707228
29	78.59977704
30	78.57863732
31	78.49125795
32	78.48137304
33	78.40508696
34	78.3737461
35	78.34482308
36	78.33021779
37	78.31613367
38	78.29347848
39	78.25335962
40	78.20484784
41	78.17877968
42	78.14825554
43	78.1259079
44	78.07773005
45	78.06871929
46	78.0289379
47	78.00977691
48	77.9912596
49	77.95160987
50	77.93770704
51	77.85924152
52	77.85174422
53	77.83501665
54	77.79978192
55	77.76488882
56	77.73601337
57	77.71923075
58	77.64264871
59	77.58628743
60	77.56873244
61	77.56102903
62	77.55323241
63	77.54925144
64	77.53946166
65	77.51417139
66	77.48575974
67	77.46962042
68	77.45918138
69	77.45012868
70	77.36495507
71	77.34938042
72	77.33481514
73	77.31248628
74	77.29800298
75	77.27299556
76	77.17461675
77	77.16276679
78	77.14789398
79	77.08312033
80	77.07034265
81	76.89255745
82	76.84734099
83	76.82276487
84	76.8134608
85	76.80253733
86	76.78379484
87	76.77801057
88	76.70811667
89	76.6779795
90	76.65657489
91	76.62908548
92	76.62121957
93	76.60716883
94	76.59912126
95	76.55601631
96	76.51566885
97	76.49697494
98	76.46402582
99	76.44702915
100	76.43173371
101	76.38261202
102	76.3639566
103	76.33883742
104	76.32285888
105	76.25677381
106	76.22131923
107	76.09580342
108	75.99578326
109	75.83993052
110	75.68917789
111	75.68111837
112	75.61228686
113	75.58730412
114	75.57948189
115	75.45018352
116	75.43485957
117	75.41748469
118	75.38981181
119	75.37929039
120	75.36956431
121	75.35931562
122	75.35179395
123	75.34424658
124	75.33209151
125	75.1973639
126	75.18994093
127	75.10066602
128	74.97399584
129	74.95925543
130	74.93331762
131	74.8894637
132	74.8657963
133	74.8560766
134	74.84152828
135	74.72364459
136	74.71346005
137	74.70344343
138	74.68542965
139	74.67309216
140	74.62060537
141	74.60506963
142	74.59112203
143	74.57795323
144	74.56185055
145	74.52796964
146	74.51301651
147	74.50005359
148	74.43129599
149	74.39918903
150	74.34487292
151	74.20238568
152	74.16588983
153	74.15884618
154	74.02315467
155	74.01432273
156	73.98211983
157	73.94301323
158	73.92168526
159	73.89956978
160	73.83436787
161	73.82823832
162	73.81179158
163	73.80113984
164	73.76738567
165	73.76117221
166	73.62795864
167	73.62390823
168	73.50656495
169	73.49380024
170	73.48709926
171	73.48161373
172	73.47781104
173	73.4301456
174	73.41980215
175	73.41253657
176	73.38970436
177	73.38387594
178	73.25696236
179	73.24983087
180	73.21800842
181	73.15653524
182	73.14853735
183	73.14200262
184	73.12185299
185	73.01035251
186	72.98505592
187	72.97950967
188	72.92985813
189	72.91348555
190	72.90019893
191	72.88299841
192	72.86214735
193	72.85336424
194	72.80568348
195	72.79167577
196	72.77571016
197	72.76896325
198	72.71291066
199	72.61560664
200	72.59924547
201	72.56489446
202	72.5197764
203	72.41348411
204	72.40189039
205	72.39602538
206	72.35271264
207	72.34023205
208	72.3296099
209	72.31546888
210	72.30741712
211	72.22939104
212	72.22349619
213	72.20103243
214	72.10645191
215	72.09152016
216	72.07928906
217	72.05164095
218	72.04662952
219	72.03432137
220	72.02530087
221	72.0113005
222	71.9945184
223	71.87487447
224	71.86509993
225	71.80781425
226	71.79451255
227	71.78354151
228	71.77912434
229	71.77243056
230	71.7649645
231	71.66346482
232	71.65223499
233	71.64350421
234	71.63258251
235	71.58999466
236	71.58306734
237	71.54378639
238	71.53867435
239	71.52605227
240	71.52206041
241	71.51665911
242	71.51163887
243	71.50693131
244	71.50255892
245	71.49832144
246	71.49442857
247	71.45641407
248	71.40861512
249	71.40427037
250	71.39412751
251	71.37689563
252	71.35805817
253	71.27558131
254	71.27192707
255	71.253056
256	71.24231131
257	71.23234932
258	71.2230963
259	71.19707428
260	71.18844466
261	71.18451261
262	71.17568915
263	71.15019793
264	71.1409925
265	71.04272993
266	71.02800527
267	71.01832155
268	70.99870904
269	70.98968356
270	70.94066277
271	70.929962
272	70.9136351
273	70.91006182
274	70.90292514
275	70.88808011
276	70.88003744
277	70.86456806
278	70.8473902
279	70.83742112
280	70.83112514
281	70.82603471
282	70.82037704
283	70.81570235
284	70.76754426
285	70.75579506
286	70.74413895
287	70.72793188
288	70.71957747
289	70.67493413
290	70.66117951
291	70.63084473
292	70.62399351
293	70.61237094
294	70.60121618
295	70.59379748
296	70.58758759
297	70.54377696
298	70.53486682
299	70.52744134
