iter	Passed	Remaining
0	65	19704
1	72	10867
2	80	7988
3	86	6433
4	93	5517
5	100	4947
6	109	4564
7	116	4246
8	123	3978
9	129	3752
10	135	3571
11	142	3425
12	149	3300
13	156	3193
14	163	3098
15	169	3016
16	176	2934
17	183	2868
18	189	2800
19	195	2741
20	202	2690
21	209	2652
22	216	2607
23	223	2571
24	229	2526
25	236	2492
26	242	2448
27	248	2415
28	255	2392
29	262	2364
30	270	2346
31	276	2319
32	283	2293
33	289	2266
34	296	2243
35	302	2219
36	309	2198
37	315	2175
38	321	2149
39	327	2125
40	333	2106
41	339	2083
42	345	2062
43	351	2043
44	358	2031
45	364	2014
46	370	1996
47	376	1977
48	382	1959
49	388	1943
50	394	1925
51	400	1911
52	407	1897
53	412	1881
54	419	1867
55	425	1853
56	431	1838
57	437	1823
58	443	1813
59	451	1804
60	457	1793
61	463	1779
62	470	1771
63	477	1762
64	484	1751
65	491	1742
66	501	1745
67	519	1772
68	525	1759
69	531	1746
70	537	1733
71	543	1720
72	549	1708
73	555	1697
74	561	1685
75	568	1675
76	574	1665
77	581	1655
78	587	1643
79	594	1634
80	601	1625
81	608	1617
82	615	1609
83	621	1598
84	627	1587
85	633	1577
86	640	1567
87	645	1556
88	652	1546
89	658	1537
90	664	1526
91	670	1516
92	677	1507
93	683	1498
94	689	1488
95	696	1479
96	703	1471
97	709	1462
98	716	1454
99	722	1445
100	728	1435
101	734	1425
102	740	1416
103	746	1406
104	752	1397
105	758	1389
106	765	1381
107	771	1372
108	778	1363
109	784	1354
110	791	1347
111	797	1338
112	803	1330
113	810	1322
114	816	1314
115	823	1305
116	828	1296
117	834	1287
118	840	1278
119	846	1269
120	852	1260
121	858	1251
122	864	1243
123	870	1235
124	876	1227
125	882	1218
126	888	1209
127	894	1202
128	901	1194
129	906	1185
130	913	1178
131	920	1171
132	926	1163
133	932	1155
134	938	1146
135	944	1139
136	950	1131
137	957	1123
138	962	1115
139	969	1107
140	975	1100
141	981	1092
142	987	1084
143	994	1076
144	1000	1069
145	1006	1061
146	1012	1054
147	1018	1046
148	1025	1039
149	1032	1032
150	1038	1024
151	1044	1016
152	1050	1009
153	1057	1002
154	1063	994
155	1069	987
156	1076	980
157	1082	972
158	1088	965
159	1095	958
160	1102	952
161	1110	945
162	1117	939
163	1124	932
164	1131	926
165	1138	918
166	1144	911
167	1151	904
168	1158	898
169	1164	890
170	1171	883
171	1177	876
172	1184	869
173	1191	862
174	1197	855
175	1203	847
176	1210	841
177	1218	835
178	1228	830
179	1235	823
180	1241	816
181	1248	809
182	1255	802
183	1261	795
184	1268	788
185	1275	781
186	1281	774
187	1288	767
188	1294	760
189	1300	752
190	1306	745
191	1313	738
192	1319	731
193	1325	724
194	1332	717
195	1339	710
196	1345	703
197	1352	696
198	1359	689
199	1365	682
200	1371	675
201	1378	668
202	1385	661
203	1391	655
204	1398	647
205	1405	641
206	1412	634
207	1419	627
208	1425	620
209	1431	613
210	1437	606
211	1443	599
212	1449	592
213	1455	584
214	1462	578
215	1468	571
216	1474	564
217	1481	557
218	1487	550
219	1494	543
220	1500	536
221	1506	529
222	1512	522
223	1519	515
224	1525	508
225	1532	501
226	1537	494
227	1544	487
228	1550	480
229	1556	473
230	1562	466
231	1568	459
232	1575	453
233	1581	445
234	1586	438
235	1593	432
236	1600	425
237	1606	418
238	1612	411
239	1618	404
240	1625	397
241	1631	391
242	1637	384
243	1642	376
244	1648	370
245	1654	363
246	1660	356
247	1666	349
248	1672	342
249	1679	335
250	1685	329
251	1691	322
252	1698	315
253	1705	308
254	1712	302
255	1718	295
256	1723	288
257	1729	281
258	1735	274
259	1742	268
260	1748	261
261	1754	254
262	1760	247
263	1767	240
264	1773	234
265	1779	227
266	1786	220
267	1791	213
268	1798	207
269	1804	200
270	1810	193
271	1817	187
272	1822	180
273	1828	173
274	1835	166
275	1841	160
276	1847	153
277	1852	146
278	1858	139
279	1864	133
280	1871	126
281	1877	119
282	1883	113
283	1889	106
284	1896	99
285	1902	93
286	1908	86
287	1915	79
288	1921	73
289	1927	66
290	1934	59
291	1941	53
292	1947	46
293	1953	39
294	1959	33
295	1965	26
296	1970	19
297	1977	13
298	1983	6
299	1990	0
